LigandID;heavyAtomSize;flexibility
000;5;0.125
001;45;0.188889
002;32;0.238806
003;33;0.0806452
004;11;0.1
005;14;0.148148
006;45;0.144444
007;13;0.0645161
008;26;0.12
009;45;0.163043
00A;32;0.134615
00B;10;0.047619
00C;10;0.1875
00D;7;0.047619
00E;10;0.0952381
00F;18;0.166667
00G;17;0.121212
00H;17;0.181818
00I;42;0.175
00J;34;0.123077
00K;38;0.152941
00L;42;0.183908
00M;14;0.148148
00N;36;0.164384
00O;18;0.117647
00P;33;0.123077
00Q;38;0.184211
00R;37;0.114286
00S;11;0.0909091
00T;11;0.0909091
00U;21;0.0714286
00V;12;0.222222
00W;14;0.241379
00X;11;0
00Y;16;0.212121
010;8;0.0625
011;10;0.25
012;40;0.170732
013;10;0.2
014;19;0.0740741
015;21;0.152174
016;45;0.144444
017;38;0.166667
018;20;0.166667
019;14;0.142857
01A;58;0.235294
01B;14;0.148148
01C;21;0.151515
01E;43;0.215909
01F;6;0.181818
01G;38;0.140625
01H;7;0.210526
01I;22;0.0606061
01J;26;0.134615
01K;64;0.268908
01L;10;0.217391
01M;12;0.08
01N;16;0.171429
01O;11;0.0869565
01P;32;0.1
01Q;11;0.0869565
01R;10;0.142857
01S;21;0.261905
01T;26;0.122807
01U;11;0
01V;10;0.0588235
01W;20;0.21875
01X;14;0.166667
01Y;10;0.136364
01Z;11;0.12
020;20;0.166667
021;10;0.130435
022;31;0.125
023;28;0.213115
024;27;0.142857
025;14;0.105263
026;10;0.111111
027;28;0.0689655
028;16;0.212121
029;14;0.129032
02A;7;0.0714286
02B;15;0.0689655
02C;10;0.111111
02D;10;0.105263
02E;24;0.170213
02F;11;0.208333
02G;11;0.227273
02H;27;0.142857
02I;22;0.0540541
02J;9;0.0714286
02K;10;0.0434783
02L;14;0.193548
02N;9;0.05
02O;15;0.133333
02P;28;0.142857
02Q;12;0.125
02R;9;0.0588235
02S;17;0.133333
02T;8;0.0588235
02U;19;0.26
02V;14;0.12
02W;13;0.0740741
02X;11;0.181818
02Y;12;0.285714
02Z;16;0.111111
030;13;0.0769231
031;42;0.164706
032;33;0.12963
033;35;0.145161
034;36;0.112903
035;19;0.294118
036;19;0.294118
037;11;0.04
038;52;0.24
039;31;0.1
03A;13;0.206897
03B;63;0.142857
03C;31;0.0833333
03D;36;0.183908
03E;11;0.0384615
03F;51;0.269231
03G;23;0.104167
03H;9;0.157895
03I;34;0.171429
03J;22;0.125
03K;20;0.138889
03L;29;0.155556
03M;28;0.0666667
03N;11;0.0740741
03O;24;0.0909091
03P;38;0.166667
03Q;34;0.178571
03R;39;0.161765
03S;5;0
03T;13;0.047619
03U;27;0.177778
03V;11;0
03W;7;0.142857
03X;39;0.117647
03Y;8;0.125
03Z;25;0.121951
040;15;0.16
041;20;0.0625
042;26;0.269231
043;15;0.181818
044;40;0.126761
045;34;0.132353
046;41;0.133333
047;25;0.0892857
048;29;0.0943396
049;18;0.184211
04A;35;0.225806
04B;15;0.147059
04C;42;0.204545
04D;12;0.15625
04E;5;0.142857
04F;15;0.137931
04G;16;0
04H;11;0.0740741
04J;32;0.185185
04K;35;0.151515
04L;36;0.126984
04M;35;0.194444
04N;19;0.0263158
04O;21;0.0681818
04P;11;0.0769231
04Q;12;0.173913
04R;17;0.103448
04S;6;0
04T;24;0.15
04U;11;0.1
04V;8;0.0555556
04W;31;0.238095
04X;16;0.0857143
04Z;27;0.133333
051;37;0.142857
052;38;0.133333
053;31;0.102041
054;35;0.0943396
055;35;0.15
056;20;0.151515
057;27;0.0961538
058;27;0.0888889
059;32;0.1875
05B;30;0.0357143
05L;19;0.177778
05N;10;0.047619
05R;12;0.111111
05S;30;0.0153846
05T;12;0.1
05U;11;0.129032
05W;12;0.15625
060;8;0.1875
061;34;0.112903
062;35;0.109375
064;36;0.131148
065;40;0.1625
066;37;0.121212
067;26;0.0666667
068;23;0.159091
069;11;0.111111
06B;14;0.130435
06C;2;0
06F;39;0.102564
06H;32;0.0149254
06J;32;0.0142857
06P;27;0.142857
06R;21;0.0625
06S;48;0.153846
06T;36;0.0384615
06U;28;0.113208
06V;28;0.105263
06W;28;0.113208
06X;28;0.185185
06Y;11;0.157895
06Z;22;0.111111
070;21;0.159091
071;33;0.0769231
072;44;0.204301
073;43;0.146667
074;27;0.224138
075;56;0.169811
076;38;0.207792
077;20;0.153846
078;22;0.148936
079;39;0.2
07B;16;0.125
07E;15;0.121212
07G;33;0.160714
07H;30;0.0862069
07J;38;0.138889
07K;12;0
07L;12;0
07M;23;0.135135
07N;26;0.116279
07O;17;0.1875
07P;64;0.27907
07Q;25;0.155556
07R;23;0.153846
07S;33;0.109375
07T;25;0.0681818
07U;22;0.0930233
07V;11;0.04
07Z;24;0.131579
082;36;0.0819672
083;27;0.0625
084;37;0.1
085;29;0.0816327
087;27;0.106383
088;37;0.123077
08B;25;0.111111
08C;19;0.0606061
08D;17;0.103448
08E;28;0.0869565
08F;42;0.130435
08H;22;0.0263158
08J;23;0.025641
08K;23;0.025
08L;52;0.108911
08M;17;0.225806
08P;12;0.277778
08Q;24;0.155556
08R;27;0.152542
08S;34;0.157895
08T;31;0.170213
08W;30;0.133333
08X;54;0.113208
08Y;43;0.0674157
08Z;24;0.128205
090;26;0.111111
091;14;0
092;18;0.0588235
093;24;0.146341
094;34;0.0714286
095;23;0.0652174
096;31;0.109375
097;23;0.215686
098;32;0.171875
099;27;0.156863
09A;24;0.0888889
09B;26;0.108696
09C;27;0.0425532
09D;28;0.0588235
09E;30;0.0566038
09F;25;0.0816327
09G;27;0.108696
09H;29;0.0909091
09I;30;0.0909091
09J;33;0.103448
09K;23;0.179487
09L;32;0.101695
09M;28;0.125
09N;54;0.270073
09O;13;0.0344828
09P;16;0.0833333
09Q;19;0.05
09R;14;0.0344828
09S;17;0.0833333
09T;20;0.0555556
09U;6;0.125
09V;5;0.0769231
09Z;18;0.121212
0A;23;0.102564
0A0;10;0.166667
0A1;14;0.148148
0A2;15;0.236842
0A3;27;0.177778
0A4;23;0.184211
0A5;7;0.230769
0A6;11;0.25
0A7;13;0.142857
0A8;13;0.304348
0A9;13;0.153846
0AA;9;0.142857
0AB;9;0
0AC;16;0.181818
0AD;26;0.145833
0AF;16;0.103448
0AG;14;0.233333
0AH;11;0.277778
0AI;17;0.125
0AJ;7;0.166667
0AK;12;0.285714
0AL;18;0.121212
0AM;30;0.206897
0AO;15;0.103448
0AP;24;0.15
0AR;15;0.266667
0AS;35;0.0229885
0AT;19;0.142857
0AU;22;0.114286
0AV;24;0.119048
0AY;14;0.25
0AZ;9;0.0555556
0B1;26;0.08
0B2;15;0.131579
0B3;18;0.0789474
0B4;19;0.05
0B5;32;0.134615
0B6;28;0.133333
0BB;27;0.12
0BC;31;0.153846
0BD;32;0.136986
0BE;1;1
0BI;42;0.0879121
0BM;33;0.15942
0BN;15;0.142857
0BP;12;0.047619
0BR;24;0.0754717
0BT;29;0.06
0BU;66;0.164948
0BV;17;0.0645161
0BW;28;0.127273
0BX;23;0.128205
0BY;24;0.128205
0BZ;24;0.128205
0C;21;0.111111
0C0;29;0.12
0C1;35;0.103448
0C2;36;0.0983607
0C3;27;0.142857
0C4;24;0.128205
0C5;25;0.15
0C6;25;0.128205
0C7;26;0.119048
0C8;28;0.162791
0C9;26;0.142857
0CA;39;0.102564
0CB;38;0.138889
0CE;34;0.0294118
0CG;12;0.294118
0CH;14;0.28
0CJ;15;0.269231
0CK;25;0.0625
0CL;5;0.2
0CM;13;0.25
0CN;13;0.25
0CO;32;0.0506329
0CP;23;0.08
0CR;103;0.115789
0CS;10;0.25
0CT;9;0
0CU;11;0
0CV;23;0.0425532
0CX;29;0.0151515
0CZ;23;0.117647
