;resolution;releaseDate;StructureWeight;PolymerWeight;NonpolymerWeight;NonpolymerWeightNowater;WaterWeight;atomCount;hetatmCount;allAtomCount;allAtomCountLn;aaCount;ligandCount;ligandBondRotationFreedom;aaLigandCount;aaLigandCountNowater;aaLigandCountFiltered;ligandRatio;hetatmCountNowater;ligandCountNowater;ligandRatioNowater;hetatmCountFiltered;ligandCarbonChiraAtomCountFiltered;ligandCountFiltered;ligandRatioFiltered;hetatmCountMetal;ligandCountMetal;ligandRatioMetal;hetatmCountNometal;ligandCountNometal;ligandRatioNometal;hetatmCountNowaterNometal;ligandCountNowaterNometal;ligandRatioNowaterNometal;hetatmCountFilteredMetal;ligandCountFilteredMetal;ligandRatioFilteredMetal;hetatmCountFilteredNometal;ligandCountFilteredNometal;ligandRatioFilteredNometal;clashscore;RamaOutliers;SidechainOutliers;ClashscorePercentile;RamaOutliersPercentile;SidechainOutliersPercentile;combinedGeometryQuality;DCC_R;DCC_Rfree;absolute-percentile-DCC_Rfree;AngleRMSZstructure;BondRMSZstructure;RSRZoutliers;RSRZoutliersPercentile;combinedXrayQualityMetric;combinedOverallQualityMetric;highestChainBondsRMSZ;highestChainAnglesRMSZ;averageResidueRSR;ChiralProblemLigandRatio;GoodLigandRatio;TopologyProblemLigandRatio;LigandTopologyProblemsPrecise;LigandTopologyCarbonChiraProblemsPrecise;ChiraProblemsPrecise;GoodLigandRatioBinary;LigandTopologyProblemsPreciseBinary;LigandTopologyCarbonChiraProblemsPreciseBinary;ChiraProblemsPreciseBinary;averageLigandRSR;averageLigandAngleRMSZ;averageLigandBondRMSZ;averageLigandRSCC;ligandRSCCoutlierRatio;AssemblyTotalWeight;AssemblyBiopolymerCount;AssemblyUniqueBiopolymerCount;AssemblyLigandCount;AssemblyUniqueLigandCount;AssemblyWaterCount;AssemblyBiopolymerWeight;AssemblyLigandWeight;AssemblyWaterWeight;averageResidueRSCC;residueRSCCoutlierRatio;AssemblyLigandFlexibility;averageLigandRSCCsmallLigs;averageLigandRSCClargeLigs;absolute-percentile-RNAsuiteness
1;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-142;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.5;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-1;-0.01;-0.01;-0.5;-0.5;-0.01
2;0.97;1994;2.90735;2.65022;0;0;0;560;0;492;6.19848;12;0;0.582;22;14;13;1;0;0;1;0;0;0;7;0;0;1;0;0;1;0;0;1;0;0;7.9;0;0;7.99;0;0;0;0.7;0.2;0.5;0.59434;0.11;0.13;0.7;0.31;0.19;0;0.4;1.39027;-43.2909;0.2;0.32;0.0844419;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0.6265;0;3.311;1;1;0;0;0;3.24484;0;0;0.826419;0.00360892;0;0.625;0.589;11
3;1.04;1995;4.43776;4.14571;102.655;24.305;90.075;751;4;689;6.53524;20;1;0.6;36;25;22;1.0095;1;1;1.66667;7;1;1;7.99;1;1;1.75;6;1;1.00835;1;1;2;14;1;10;7;1;8;0.5;0.05;0.27;1.4;0.5;1;1.18915;0.12;0.14;1.2;0.33;0.2;0.18;0.9;2.54413;-37.7639;0.21;0.34;0.091016;0.112;0.25;0.09;0.008;0.0093;0.025;1;1;1;1;0.067;0.09240385;0.146667;0.69;0.046;4.861;2;2;1;1;1;4.74305;24.305;19;0.847867;0.00668896;0.0238095;0.679214;0.659333;22
4;1.12;1996;6.17178;5.81252;175.82;62.068;162.135;940;10;869;6.76734;30;3;0.619;51;36;31;1.01384;2;2;2.14286;8;2;2;8;2;2;2.9;14;4;1.01299;2;2;2.5;42;2;42;8;2;9;0.79;0.07;0.34;2.2;0.8;1.3;1.86857;0.13;0.15;1.7;0.36;0.21;0.27;1.7;3.65536;-34.1308;0.22;0.36;0.095118;0.24;0.49;0.15;0.016;0.0167;0.057;NA;NA;NA;NA;0.072;0.1325;0.1775;0.720333;0.062;6.259;3;3;2;2;2;6.09396;60.095;37;0.859324;0.00917431;0.0277778;0.7095;0.698;33
5;1.16;1997;7.52914;7.05504;270.225;92.005;234.195;993;18;987;6.89467;42;4;0.63;68;50;44;1.01703;3;3;2.35;9;3;3;8.99;3;3;4;22;6;1.01645;4;3;3;43;4;43;9;3;9.99;0.97;0.1;0.39;3.1;1.1;1.8;2.59511;0.14;0.16;2.4;0.37;0.22;0.33;2.1;4.63911;-31.5239;0.23;0.39;0.0981584;0.48;0.5;0.24;0.024;0.0243;0.1;NA;NA;NA;NA;0.0762353;0.172857;0.211667;0.741;0.072;7.367;4;4;3;3;3;7.29674;65.409;55;0.866735;0.0113821;0.0325203;0.729;0.724;45
6;1.205;1998;8.61232;8.02331;364.621;94.971;306.255;1041;23;1071;6.97635;55;6;0.637;82;62;56;1.0197;4;4;2.73333;10;4;4;9;4;4;6.9;28;9;1.01949;5;4;3.57143;85;9;110;10;4;10;1.13;0.11;0.43;3.9;1.4;2.1;3.27918;0.15;0.17;3.6;0.38;0.23;0.39;3;5.96836;-29.2858;0.24;0.4;0.100551;0.99;0.65;0.33;0.034;0.0323;0.199;NA;NA;NA;NA;0.08;0.209;0.25;0.756333;0.084;8.334;5;5;4;4;4;8.16529;80.156;73;0.872129;0.0133333;0.037736;0.7445;0.7425;58
7;1.277;1999;9.80859;9.16857;453.619;110.61;396.33;1104;29;1145;7.04316;67;8;0.646;94;72;68;1.02319;5;5;3.14286;11;5;5;9.99;5;5;9;33;15;1.02319;6;5;3.94118;86;1350;NA;11;5;10.99;1.27;0.12;0.47;4.9;1.7;2.4;4.02178;0.16;0.18;5.6;0.39;0.24;0.45;3.4;6.79373;-27.2496;0.25;0.41;0.102684;1;0.67;0.49;0.047;0.0426;0.4;NA;NA;NA;NA;0.083;0.24;0.28;0.769;0.0999;9.47;6;9;5;5;5;9.27981;92.094;91;0.876176;0.0151515;0.0416667;0.757;0.757947;71.2
8;1.3;2000;10.9865;10.393;540.45;120.234;468.39;1184;34;1206;7.09506;76;10;0.653;105;81;76;1.02667;6;6;3.33333;12;6;6;10;6;6;16;39;19;1.02688;7;6;4;171;NA;NA;12;6;11;1.4;0.13;0.52;5.8;2;2.7;4.80814;0.17;0.19;8.9;0.4;0.25;0.52;3.8;7.6565;-25.4078;0.26;0.42;0.10454;NA;0.75;0.5;0.066;0.0572;1.5;NA;NA;NA;NA;0.086125;0.27;0.305;0.779167;0.111;10.604;8;15;6;6;6;10.4454;115.084;109;0.879451;0.0167464;0.0469966;0.767875;0.770133;85.5
9;1.34;2001;12.181;11.4199;621.561;132.905;540.45;1242;40;1285;7.15851;84;12;0.666;115;90;85;1.02961;7;7;3.5;13;7;7;10.99;7;7;21;45;22;1.03;8;7;4.28571;172;NA;NA;13;7;11.99;1.53;0.14;0.56;6.8;2.3;3;5.60368;0.18;0.2;13.9;0.41;0.26;0.58;4.2;8.89737;-23.7154;0.27;0.43;0.106278;NA;0.83;0.745;0.087;0.0749;NA;NA;NA;NA;NA;0.089;0.293333;0.326667;0.788571;0.124;11.539;11;45;7;7;8;11.3722;122.143;145;0.882403;0.0183486;0.0487805;0.7774;0.780625;100
10;1.374;2002;13.2512;12.2389;710.006;150.13;612.51;1297;45;1364;7.21818;92;15;0.67;126;97;93;1.03299;8;8;3.8;14;8;8;11;8;8;28;50;26;1.03358;10;8;4.47619;310;NA;NA;14;8;12;1.65;0.15;0.6;7.8;2.6;3.3;6.43564;0.19;0.21;20.2;0.42;0.27;0.63;4.7;9.87546;-22.1392;0.28;0.44;0.107931;NA;0.87;0.9999;0.114;0.098;NA;NA;NA;NA;NA;0.092;0.318;0.343333;0.796;0.141;12.369;12;200;8;8;11;12.138;140.201;200;0.88497;0.0198238;0.0517241;0.785;0.79;NA
