"PDB ID";"resolution";"releaseDate";"StructureWeight";"PolymerWeight";"NonpolymerWeight";"NonpolymerWeightNowater";"WaterWeight";"atomCount";"hetatmCount";"allAtomCount";"allAtomCountLn";"aaCount";"ligandCount";"ligandBondRotationFreedom";"aaLigandCount";"aaLigandCountNowater";"aaLigandCountFiltered";"ligandRatio";"hetatmCountNowater";"ligandCountNowater";"ligandRatioNowater";"hetatmCountFiltered";"ligandCarbonChiraAtomCountFiltered";"ligandCountFiltered";"ligandRatioFiltered";"hetatmCountMetal";"ligandCountMetal";"ligandRatioMetal";"hetatmCountNometal";"ligandCountNometal";"ligandRatioNometal";"hetatmCountNowaterNometal";"ligandCountNowaterNometal";"ligandRatioNowaterNometal";"hetatmCountFilteredMetal";"ligandCountFilteredMetal";"ligandRatioFilteredMetal";"hetatmCountFilteredNometal";"ligandCountFilteredNometal";"ligandRatioFilteredNometal";"clashscore";"RamaOutliers";"SidechainOutliers";"ClashscorePercentile";"RamaOutliersPercentile";"SidechainOutliersPercentile";"combinedGeometryQuality";"DCC_R";"DCC_Rfree";"absolute-percentile-DCC_Rfree";"AngleRMSZstructure";"BondRMSZstructure";"RSRZoutliers";"RSRZoutliersPercentile";"combinedXrayQualityMetric";"combinedOverallQualityMetric";"highestChainBondsRMSZ";"highestChainAnglesRMSZ";"averageResidueRSR";"ChiralProblemLigandRatio";"GoodLigandRatio";"TopologyProblemLigandRatio";"LigandTopologyProblemsPrecise";"LigandTopologyCarbonChiraProblemsPrecise";"ChiraProblemsPrecise";"GoodLigandRatioBinary";"LigandTopologyProblemsPreciseBinary";"LigandTopologyCarbonChiraProblemsPreciseBinary";"ChiraProblemsPreciseBinary";"averageLigandRSR";"averageLigandAngleRMSZ";"averageLigandBondRMSZ";"averageLigandRSCC";"ligandRSCCoutlierRatio";"AssemblyTotalWeight";"AssemblyBiopolymerCount";"AssemblyUniqueBiopolymerCount";"AssemblyLigandCount";"AssemblyUniqueLigandCount";"AssemblyWaterCount";"AssemblyBiopolymerWeight";"AssemblyLigandWeight";"AssemblyWaterWeight";"averageResidueRSCC";"residueRSCCoutlierRatio";"AssemblyLigandFlexibility";"averageLigandRSCCsmallLigs";"averageLigandRSCClargeLigs";"absolute-percentile-RNAsuiteness"
"100d";1.9;1995;7.56731;6.15796;1409.35;202.34;1207.01;407;81;488;6.19032;10;68;1;78;11;11;1.19118;14;1;14;14;0;1;14;0;0;"nan";81;68;1.19118;14;1;14;0;0;"nan";14;1;14;4.46;"nan";"nan";64.4;"nan";"nan";"nan";0.14;"nan";"nan";2.91;1.67;0;100;"nan";"nan";1.69;2.98;0.321276;0;1;0;0;0;0;1;0;0;0;0.179;1.35;0.86;0.883;0;6.396;2;1;1;1;2;6.15796;202.34;36.03;0.784184;0.37931;0.282051;"nan";0.883;"nan"
"101d";2.25;1995;8.58788;7.48458;1103.31;454.769;648.54;447;108;555;6.31897;12;40;0.759259;52;16;15;2.7;72;4;18;73;6;3;24.3333;1;1;1;107;39;2.74359;71;3;23.6667;0;0;"nan";73;3;24.3333;17.22;"nan";"nan";13.4;"nan";"nan";"nan";"nan";"nan";"nan";3.81;2.72;"nan";"nan";"nan";"nan";2.75;3.85;"nan";0;1;0;0;0;0;1;0;0;0;"nan";2.01;1.91333;"nan";"nan";7.975;2;1;2;2;2;7.48458;454.769;36.03;"nan";"nan";0.612069;"nan";"nan";"nan"
"101m";2.07;1998;20.5989;17.3171;3281.75;795.682;2486.07;1220;192;1412;7.25276;154;141;0.7;295;157;155;1.3617;54;3;18;43;0;1;43;43;1;43;149;140;1.06429;11;2;5.5;43;1;43;0;0;"nan";16.75;0;3.17;14;100;41.9;28.4914;0.15;0.2;85.1;0.56;0.47;0.65;88.9;86.9585;26.675;0.47;0.56;0.0984829;0;1;0;0;0;0;1;0;0;0;0.0896667;1.13333;1.48;0.963667;0;18.131;1;1;3;3;1;17.3171;795.682;18.015;0.925637;0.0787671;0.103949;0.96;0.971;"nan"
"102d";2.2;1995;8.95227;7.32481;1627.46;312.366;1315.1;485;96;581;6.36475;12;74;0.666667;86;13;13;1.2973;23;1;23;23;0;1;23;0;0;"nan";96;74;1.2973;23;1;23;0;0;"nan";23;1;23;2.49;"nan";"nan";84.6;"nan";"nan";"nan";0.17;"nan";"nan";3.13;2.11;0;100;"nan";"nan";2.18;3.17;0.26399;0;1;0;0;0;0;1;0;0;0;0.234;1.45;1.58;0.869;0;7.673;2;1;1;1;2;7.32481;312.366;36.03;0.799165;0.42268;0.181818;"nan";0.869;"nan"
"102l";1.74;1993;21.3046;18.6994;2605.15;227.172;2377.98;1296;142;1438;7.27101;165;136;"nan";301;169;165;1.04412;10;4;2.5;0;0;0;"nan";0;0;"nan";142;136;1.04412;10;4;2.5;0;0;"nan";0;0;"nan";6.44;0;4.44;49;100;30.9;47.7931;0.18;"nan";"nan";1.4;1;1.84;68.1;"nan";"nan";1;1.4;0.11403;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.1305;0.34;1.035;0.901;0;18.945;1;1;4;2;1;18.6994;227.172;18.015;0.903495;0.131313;0.555555;0.901;"nan";"nan"
"102m";1.84;1998;20.803;17.2981;3504.88;712.55;2792.33;1219;203;1422;7.25982;154;157;0.7;311;156;155;1.29299;48;2;24;43;0;1;43;43;1;43;160;156;1.02564;5;1;5;43;1;43;0;0;"nan";7.85;0.66;4;39.7;23.9;34.1;31.1347;0.16;0.2;85.1;0.53;0.38;0.65;88.9;86.9585;31.4466;0.38;0.53;0.0953625;0;1;0;0;0;0;1;0;0;0;0.1035;1.39;1.055;0.9575;0;18.029;1;1;2;2;1;17.2981;712.55;18.015;0.929599;0.0679612;0.0487805;0.935;0.98;"nan"
"103d";"nan";1995;3.75147;3.75147;0;0;0;772;0;772;6.64898;12;0;"nan";12;12;12;"nan";0;0;"nan";0;0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;"nan";"nan";99.9;"nan";"nan";"nan";"nan";"nan";"nan";1.69;1.19;"nan";"nan";"nan";"nan";1.19;1.69;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";7.503;2;1;0;0;0;7.50293;0;0;"nan";"nan";"nan";"nan";"nan";"nan"
"103l";1.9;1993;21.3986;18.9437;2454.96;149.039;2305.92;1269;134;1403;7.24637;167;131;"nan";298;170;167;1.0229;6;3;2;0;0;0;"nan";0;0;"nan";134;131;1.0229;6;3;2;0;0;"nan";0;0;"nan";15.16;0.65;6.06;16.5;26.9;20.5;20.4693;0.2;"nan";"nan";1.32;0.98;0.63;88.9;"nan";"nan";0.98;1.32;0.136869;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.146;0.04;0.54;0.904;0;19.111;1;1;3;2;1;18.9437;149.039;18.015;0.871606;0.176471;0.703704;0.904;"nan";"nan"
"103m";2.07;1998;20.1655;17.2981;2867.41;795.682;2071.72;1219;169;1388;7.23562;154;118;0.7;272;157;155;1.4322;54;3;18;43;0;1;43;43;1;43;126;117;1.07692;11;2;5.5;43;1;43;0;0;"nan";10.14;0;4;29.9;100;34.1;41.2256;0.15;0.21;77.8;0.59;0.47;0.65;88.9;82.9804;31.053;0.47;0.59;0.0906431;0;1;0;0;0;0;1;0;0;0;0.089;1.32333;1.33;0.966667;0;18.112;1;1;3;3;1;17.2981;795.682;18.015;0.935048;0.063197;0.103949;0.965;0.97;"nan"
"104d";"nan";1995;3.72739;3.72739;0;0;0;766;0;766;6.64118;12;0;"nan";12;12;12;"nan";0;0;"nan";0;0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";2.61;"nan";"nan";82.9;"nan";"nan";"nan";"nan";"nan";"nan";2.24;1.39;"nan";"nan";"nan";"nan";1.39;2.24;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";7.455;2;1;0;0;0;7.45478;0;0;"nan";"nan";"nan";"nan";"nan";"nan"
"104l";2.8;1993;38.1175;37.541;576.48;0;576.48;2603;32;2635;7.87664;166;32;"nan";198;166;166;1;0;0;"nan";0;0;0;"nan";0;0;"nan";32;32;1;0;0;"nan";0;0;"nan";0;0;"nan";65.56;6.48;25.93;0.6;1.3;0.4;0.607792;0.18;"nan";"nan";1.67;1.2;0;100;"nan";"nan";1.26;1.7;0.1202;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";18.789;1;1;0;0;1;18.7705;0;18.015;0.9468;0.0166667;"nan";"nan";"nan";"nan"
"104m";1.71;1998;21.2553;17.235;4020.37;795.682;3224.68;1216;233;1449;7.27863;153;182;0.7;335;156;154;1.28022;54;3;18;43;0;1;43;43;1;43;190;181;1.04972;11;2;5.5;43;1;43;0;0;"nan";7.84;0.66;1.6;40.3;23.9;65.5;36.6202;0.15;0.22;69.2;0.58;0.43;1.96;64.8;66.9278;26.124;0.43;0.58;0.099256;0;1;0;0;0;0;1;0;0;0;0.0796667;1.29667;1.48667;0.961333;0;18.049;1;1;3;3;1;17.235;795.682;18.015;0.920066;0.0903614;0.103949;0.951;0.982;"nan"
"105d";"nan";1995;0.837599;0.837599;0;0;0;2912;0;2912;7.9766;3;0;"nan";3;3;3;"nan";0;0;"nan";0;0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";0;0;"nan";14.77;"nan";"nan";20.1;"nan";"nan";"nan";"nan";"nan";"nan";2.01;1.13;"nan";"nan";"nan";"nan";1.19;2.05;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";3.35;4;1;0;0;0;3.3504;0;0;"nan";"nan";"nan";"nan";"nan";"nan"
"105m";2.02;1998;20.1024;17.235;2867.41;795.682;2071.72;1216;169;1385;7.23346;153;118;0.7;271;156;154;1.4322;54;3;18;43;0;1;43;43;1;43;126;117;1.07692;11;2;5.5;43;1;43;0;0;"nan";16.07;0;2.4;15;100;51.8;31.2592;0.17;0.26;28.4;0.5;0.31;0.65;87.2;42.8457;6.75245;0.31;0.5;0.116123;0;1;0;0;0;0;1;0;0;0;0.1;1.04;1.34333;0.960333;0;18.049;1;1;3;3;1;17.235;795.682;18.015;0.90994;0.100746;0.103949;0.956;0.969;"nan"
"106d";"nan";1995;0.771646;0.771646;0;0;0;2016;992;3008;8.00903;3;32;0.833333;35;35;7;31;992;32;31;68;12;4;17;0;0;"nan";992;32;31;992;32;31;0;0;"nan";68;4;17;16.62;"nan";"nan";17;"nan";"nan";"nan";"nan";"nan";"nan";2.27;1.4;"nan";"nan";"nan";"nan";1.6;2.5;"nan";0;1;0;0;0;0;1;0;0;0;"nan";1.16156;1.33;"nan";"nan";3.087;4;1;0;0;0;3.08658;0;0;"nan";"nan";"nan";"nan";"nan";"nan"
